Number of Records,Sport Id,Sport Name
1,S52,Wrestling
1,S53,Weightlift
1,S54,Water Polo
1,S55,Volleyball
1,S56,Triathlon
1,S57,Trampolini
1,S58,Tennis
1,S59,Taekwondo
1,S60,Table Tenn
1,S61,Synchroniz
1,S62,Swimming
1,S63,Speed Skat
1,S64,Softball
1,S65,Snowboardi
1,S66,Ski Jumpin
1,S67,Skeleton
1,S68,Short Trac
1,S69,Shooting
1,S70,Sailing
1,S71,Rugby Seve
1,S72,Rowing
1,S73,Rhythmic G
1,S74,Nordic Com
1,S75,Modern Pen
1,S76,Luge
1,S77,Judo
1,S78,Ice Hockey
1,S79,Hockey
1,S80,Handball
1,S81,Gymnastics
1,S82,Golf
1,S83,Freestyle 
1,S84,Football
1,S85,Figure Ska
1,S86,Fencing
1,S87,Equestrian
1,S88,Diving
1,S89,Cycling
1,S90,Curling
1,S91,Cross Coun
1,S92,Canoeing
1,S93,Boxing
1,S94,Bobsleigh
1,S95,Biathlon
1,S96,Beach Voll
1,S97,Basketball
1,S98,Baseball
1,S99,Badminton
1,S100,Athletics
1,S101,Archery
1,S102,Alpine Ski
